city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vásárosnamény,48.1267,22.3183,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,8618,8618
Derecske,47.3537,21.5718,Hungary,HU,Hajdú-Bihar,minor,8403,8403
Jánoshalma,46.2967,19.3228,Hungary,HU,Bács-Kiskun,minor,8336,8336
Kunszentmiklós,47.0264,19.1228,Hungary,HU,Bács-Kiskun,minor,8248,8248
Kunszentmárton,46.8400,20.2900,Hungary,HU,Jász-Nagykun-Szolnok,minor,8034,8034
Tamási,46.6167,18.3000,Hungary,HU,Tolna,minor,7986,7986
Fehérgyarmat,47.9850,22.5169,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,7981,7981
Nyíradony,47.6833,21.9167,Hungary,HU,Hajdú-Bihar,minor,7677,7677
Kunhegyes,47.3700,20.6308,Hungary,HU,Jász-Nagykun-Szolnok,minor,7521,7521
Füzesabony,47.7510,20.4090,Hungary,HU,Heves,minor,7412,7412
Lenti,46.6236,16.5458,Hungary,HU,Zala,minor,7348,7348
Kistelek,46.4731,19.9800,Hungary,HU,Csongrád,minor,6917,6917
Polgárdi,47.0538,18.3049,Hungary,HU,Fejér,minor,6917,6917
Zirc,47.2633,17.8725,Hungary,HU,Veszprém,minor,6805,6805
Enying,46.9296,18.2430,Hungary,HU,Fejér,minor,6655,6655
Ibrány,48.1282,21.7135,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,6648,6648
Putnok,48.2936,20.4367,Hungary,HU,Borsod-Abaúj-Zemplén,minor,6492,6492
Bácsalmás,46.1239,19.3261,Hungary,HU,Bács-Kiskun,minor,6453,6453
Zalaszentgrót,46.9469,17.0789,Hungary,HU,Zala,minor,6263,6263
Encs,48.3306,21.1217,Hungary,HU,Borsod-Abaúj-Zemplén,minor,6254,6254
Aszód,47.6514,19.4894,Hungary,HU,Pest,minor,6184,6184
Szentlőrinc,46.0422,17.9856,Hungary,HU,Baranya,minor,6184,6184
Mórahalom,46.2167,19.8833,Hungary,HU,Csongrád,minor,6145,6145
Sümeg,46.9775,17.2817,Hungary,HU,Veszprém,minor,6037,6037
Mezőkovácsháza,46.4119,20.9108,Hungary,HU,Békés,minor,5787,5787
Szécsény,48.0808,19.5194,Hungary,HU,Nógrád,minor,5695,5695
Martonvásár,47.3140,18.7885,Hungary,HU,Fejér,minor,5672,5672
Mezőcsát,47.8233,20.9028,Hungary,HU,Borsod-Abaúj-Zemplén,minor,5661,5661
Kisbér,47.5017,18.0267,Hungary,HU,Komárom-Esztergom,minor,5336,5336
Szikszó,48.1950,20.9461,Hungary,HU,Borsod-Abaúj-Zemplén,minor,5278,5278
Csenger,47.8350,22.6822,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,4961,4961
Fonyód,46.7412,17.5503,Hungary,HU,Somogy,minor,4829,4829
Kemecse,48.0683,21.8014,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,4777,4777
Csurgó,46.2667,17.1000,Hungary,HU,Somogy,minor,4741,4741
Tab,46.7327,18.0356,Hungary,HU,Somogy,minor,4286,4286
