city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Budapest,47.4983,19.0408,Hungary,HU,Budapest,primary,1752286,1752286
Debrecen,47.5300,21.6392,Hungary,HU,Hajdú-Bihar,admin,201432,201432
Szeged,46.2500,20.1667,Hungary,HU,Csongrád,admin,160766,160766
Miskolc,48.1000,20.7833,Hungary,HU,Borsod-Abaúj-Zemplén,admin,154521,154521
Pécs,46.0708,18.2331,Hungary,HU,Baranya,admin,142873,142873
Győr,47.6842,17.6344,Hungary,HU,Győr-Moson-Sopron,admin,132034,132034
Nyíregyháza,47.9500,21.7167,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,116799,116799
Kecskemét,46.9074,19.6917,Hungary,HU,Bács-Kiskun,admin,110687,110687
Székesfehérvár,47.2000,18.4167,Hungary,HU,Fejér,admin,96940,96940
Szombathely,47.2333,16.6333,Hungary,HU,Vas,admin,78407,78407
Szolnok,47.1747,20.1764,Hungary,HU,Jász-Nagykun-Szolnok,admin,71285,71285
Érd,47.3833,18.9167,Hungary,HU,Pest,minor,66892,66892
Tatabánya,47.5862,18.3949,Hungary,HU,Komárom-Esztergom,admin,65845,65845
Sopron,47.6833,16.5833,Hungary,HU,Sopron,admin,62454,62454
Kaposvár,46.3667,17.7833,Hungary,HU,Somogy,admin,61441,61441
Veszprém,47.1000,17.9167,Hungary,HU,Veszprém,admin,59738,59738
Békéscsaba,46.6833,21.0833,Hungary,HU,Békés,admin,58996,58996
Zalaegerszeg,46.8392,16.8511,Hungary,HU,Zala,admin,57403,57403
Eger,47.8989,20.3747,Hungary,HU,Heves,admin,52898,52898
Nagykanizsa,46.4558,16.9975,Hungary,HU,Nagykanizsa,admin,46866,46866
Dunaújváros,46.9833,18.9167,Hungary,HU,Dunaújváros,admin,44200,44200
Dunakeszi,47.6297,19.1381,Hungary,HU,Pest,minor,43490,43490
Hódmezővásárhely,46.4303,20.3189,Hungary,HU,Hódmezővásárhely,admin,43311,43311
Szigetszentmiklós,47.3453,19.0483,Hungary,HU,Pest,minor,38591,38591
Cegléd,47.1772,19.7981,Hungary,HU,Pest,minor,35523,35523
Baja,46.1833,18.9536,Hungary,HU,Bács-Kiskun,minor,34788,34788
Salgótarján,48.0853,19.7867,Hungary,HU,Nógrád,admin,33579,33579
Mosonmagyaróvár,47.8667,17.2667,Hungary,HU,Győr-Moson-Sopron,minor,33318,33318
Vác,47.7753,19.1311,Hungary,HU,Pest,minor,32828,32828
Ózd,48.2192,20.2869,Hungary,HU,Borsod-Abaúj-Zemplén,minor,32564,32564
Gödöllő,47.6000,19.3667,Hungary,HU,Pest,minor,32131,32131
Szekszárd,46.3558,18.7039,Hungary,HU,Tolna,admin,31795,31795
Hajdúböszörmény,47.6667,21.5167,Hungary,HU,Hajdú-Bihar,minor,30437,30437
Pápa,47.3306,17.4658,Hungary,HU,Veszprém,minor,30382,30382
Gyöngyös,47.7833,19.9333,Hungary,HU,Heves,minor,29337,29337
Gyula,46.6500,21.2828,Hungary,HU,Békés,minor,29308,29308
Kiskunfélegyháza,46.7050,19.8500,Hungary,HU,Bács-Kiskun,minor,29306,29306
Budaörs,47.4606,18.9578,Hungary,HU,Pest,,28844,28844
Esztergom,47.7856,18.7403,Hungary,HU,Komárom-Esztergom,minor,28144,28144
Ajka,47.1006,17.5522,Hungary,HU,Veszprém,minor,27995,27995
Orosháza,46.5678,20.6428,Hungary,HU,Békés,minor,27492,27492
Jászberény,47.5000,19.9167,Hungary,HU,Jász-Nagykun-Szolnok,minor,27439,27439
Szentes,46.6519,20.2572,Hungary,HU,Csongrád,minor,27080,27080
Kiskunhalas,46.4319,19.4883,Hungary,HU,Bács-Kiskun,minor,27017,27017
Kazincbarcika,48.2531,20.6456,Hungary,HU,Borsod-Abaúj-Zemplén,minor,26337,26337
Siófok,46.9000,18.0500,Hungary,HU,Somogy,minor,25461,25461
Hajdúszoboszló,47.4500,21.3833,Hungary,HU,Hajdú-Bihar,minor,23873,23873
Gyál,47.3822,19.2136,Hungary,HU,Pest,minor,23628,23628
